subscription_id,user_id,plan,billing_cycle,mrr,start_date,status,churned_date,churn_reason,plan_upgraded_to,upgrade_date
SUB_0000054,USR_0000314,growth,annual,30.6,2024-06-28,active,NULL,NULL,NULL,NULL
SUB_0000055,USR_0000319,starter,monthly,12.0,2024-06-14,active,NULL,NULL,NULL,NULL
SUB_0000056,USR_0000327,growth,annual,30.6,2024-07-07,active,NULL,NULL,NULL,NULL
SUB_0000057,USR_0000328,growth,monthly,36.0,2024-06-05,active,NULL,NULL,NULL,NULL
SUB_0000058,USR_0000332,starter,annual,10.2,2024-07-16,active,NULL,NULL,NULL,NULL
SUB_0000059,USR_0000337,growth,monthly,36.0,2024-04-26,active,NULL,NULL,NULL,NULL
SUB_0000060,USR_0000344,growth,annual,30.6,2024-01-28,active,NULL,NULL,NULL,NULL
SUB_0000061,USR_0000345,starter,annual,10.2,2024-07-07,active,NULL,NULL,NULL,NULL
SUB_0000062,USR_0000348,enterprise,monthly,96.0,2024-04-05,active,NULL,NULL,NULL,NULL
SUB_0000063,USR_0000351,growth,monthly,36.0,2024-06-10,active,NULL,NULL,NULL,NULL
SUB_0000064,USR_0000354,starter,monthly,12.0,2024-02-02,active,NULL,NULL,NULL,NULL
SUB_0000065,USR_0000358,enterprise,monthly,96.0,2024-03-25,active,NULL,NULL,NULL,NULL
SUB_0000066,USR_0000398,starter,annual,10.2,2024-06-08,active,NULL,NULL,NULL,NULL
SUB_0000067,USR_0000402,growth,annual,30.6,2024-07-14,active,NULL,NULL,NULL,NULL
SUB_0000068,USR_0000403,growth,monthly,36.0,2024-05-11,active,NULL,NULL,NULL,NULL
SUB_0000069,USR_0000409,starter,annual,10.2,2024-07-05,active,NULL,NULL,NULL,NULL
SUB_0000070,USR_0000410,enterprise,monthly,96.0,2024-05-01,active,NULL,NULL,NULL,NULL
SUB_0000071,USR_0000423,growth,monthly,36.0,2024-07-11,churned,2024-12-07,missing_features,NULL,NULL
SUB_0000072,USR_0000434,starter,annual,10.2,2024-07-25,active,NULL,NULL,NULL,NULL
SUB_0000073,USR_0000437,starter,annual,10.2,2024-05-10,active,NULL,NULL,NULL,NULL
SUB_0000074,USR_0000439,growth,monthly,36.0,2024-02-04,active,NULL,NULL,NULL,NULL
SUB_0000075,USR_0000442,growth,monthly,36.0,2024-02-25,active,NULL,NULL,NULL,NULL
SUB_0000076,USR_0000450,growth,annual,30.6,2024-04-06,active,NULL,NULL,NULL,NULL
SUB_0000077,USR_0000455,growth,monthly,36.0,2024-05-31,active,NULL,NULL,NULL,NULL
SUB_0000078,USR_0000457,growth,monthly,36.0,2024-06-20,active,NULL,NULL,NULL,NULL
SUB_0000079,USR_0000465,growth,annual,30.6,2024-05-02,active,NULL,NULL,NULL,NULL
SUB_0000080,USR_0000469,enterprise,monthly,96.0,2024-07-03,active,NULL,NULL,NULL,NULL
SUB_0000081,USR_0000472,growth,annual,30.6,2024-07-05,active,NULL,NULL,NULL,NULL
SUB_0000082,USR_0000482,starter,monthly,12.0,2024-06-25,active,NULL,NULL,NULL,NULL
SUB_0000083,USR_0000483,starter,annual,10.2,2024-05-10,active,NULL,NULL,NULL,NULL
SUB_0000084,USR_0000485,growth,monthly,36.0,2024-05-19,active,NULL,NULL,NULL,NULL
SUB_0000085,USR_0000489,starter,annual,10.2,2024-02-08,active,NULL,NULL,NULL,NULL
SUB_0000086,USR_0000491,growth,annual,30.6,2024-05-10,active,NULL,NULL,NULL,NULL
SUB_0000087,USR_0000496,growth,monthly,36.0,2024-04-02,active,NULL,NULL,NULL,NULL
SUB_0000088,USR_0000506,starter,monthly,12.0,2024-01-29,active,NULL,NULL,NULL,NULL
SUB_0000089,USR_0000511,starter,annual,10.2,2024-07-02,active,NULL,NULL,growth,2024-10-04
SUB_0000090,USR_0000516,growth,monthly,36.0,2024-05-31,active,NULL,NULL,NULL,NULL
SUB_0000091,USR_0000518,growth,monthly,36.0,2024-07-13,active,NULL,NULL,NULL,NULL
SUB_0000092,USR_0000523,starter,monthly,12.0,2024-07-08,active,NULL,NULL,NULL,NULL
SUB_0000093,USR_0000526,enterprise,monthly,96.0,2024-04-02,active,NULL,NULL,NULL,NULL
SUB_0000094,USR_0000527,starter,monthly,12.0,2024-05-23,active,NULL,NULL,NULL,NULL
SUB_0000095,USR_0000532,starter,monthly,12.0,2024-01-23,active,NULL,NULL,NULL,NULL
SUB_0000096,USR_0000533,enterprise,annual,81.6,2024-02-11,active,NULL,NULL,NULL,NULL
SUB_0000097,USR_0000534,enterprise,annual,81.6,2024-05-04,active,NULL,NULL,NULL,NULL
SUB_0000098,USR_0000535,growth,annual,30.6,2024-04-08,active,NULL,NULL,NULL,NULL
SUB_0000099,USR_0000538,starter,monthly,12.0,2024-05-20,active,NULL,NULL,NULL,NULL
SUB_0000100,USR_0000548,growth,annual,30.6,2024-07-11,active,NULL,NULL,NULL,NULL
SUB_0000101,USR_0000549,growth,monthly,36.0,2024-01-24,active,NULL,NULL,NULL,NULL
SUB_0000102,USR_0000554,starter,monthly,12.0,2024-03-26,active,NULL,NULL,NULL,NULL
SUB_0000103,USR_0000555,starter,monthly,12.0,2024-03-16,active,NULL,NULL,NULL,NULL
SUB_0000104,USR_0000556,starter,monthly,12.0,2024-04-15,active,NULL,NULL,NULL,NULL
SUB_0000105,USR_0000559,starter,monthly,12.0,2024-04-05,active,NULL,NULL,NULL,NULL
SUB_0000106,USR_0000566,starter,annual,10.2,2024-04-06,active,NULL,NULL,NULL,NULL
SUB_0000107,USR_0000570,starter,annual,10.2,2024-05-07,active,NULL,NULL,NULL,NULL
SUB_0000108,USR_0000580,growth,monthly,36.0,2024-07-18,active,NULL,NULL,enterprise,2024-10-29
SUB_0000109,USR_0000584,enterprise,monthly,96.0,2024-06-12,active,NULL,NULL,NULL,NULL
SUB_0000110,USR_0000585,growth,annual,30.6,2024-06-30,active,NULL,NULL,NULL,NULL
SUB_0000111,USR_0000592,starter,monthly,12.0,2024-05-22,active,NULL,NULL,NULL,NULL
SUB_0000112,USR_0000596,growth,monthly,36.0,2024-05-20,active,NULL,NULL,NULL,NULL
SUB_0000113,USR_0000600,enterprise,monthly,96.0,2024-05-12,active,NULL,NULL,NULL,NULL
SUB_0000114,USR_0000601,starter,annual,10.2,2024-07-20,active,NULL,NULL,NULL,NULL
SUB_0000115,USR_0000605,starter,monthly,12.0,2024-07-19,active,NULL,NULL,NULL,NULL
SUB_0000116,USR_0000608,starter,annual,10.2,2024-04-24,active,NULL,NULL,NULL,NULL
SUB_0000117,USR_0000611,enterprise,annual,81.6,2024-07-21,active,NULL,NULL,NULL,NULL
SUB_0000118,USR_0000622,enterprise,annual,81.6,2024-07-16,active,NULL,NULL,NULL,NULL
SUB_0000119,USR_0000633,growth,monthly,36.0,2024-03-23,active,NULL,NULL,NULL,NULL
SUB_0000120,USR_0000637,growth,annual,30.6,2024-04-14,active,NULL,NULL,NULL,NULL
SUB_0000121,USR_0000644,growth,monthly,36.0,2024-05-22,active,NULL,NULL,NULL,NULL
SUB_0000122,USR_0000646,growth,monthly,36.0,2024-02-13,active,NULL,NULL,NULL,NULL
SUB_0000123,USR_0000660,growth,annual,30.6,2024-04-08,active,NULL,NULL,NULL,NULL
SUB_0000124,USR_0000666,starter,annual,10.2,2024-04-12,active,NULL,NULL,NULL,NULL
SUB_0000125,USR_0000667,growth,annual,30.6,2024-02-19,active,NULL,NULL,NULL,NULL
SUB_0000126,USR_0000670,enterprise,monthly,96.0,2024-06-10,active,NULL,NULL,NULL,NULL
SUB_0000127,USR_0000672,growth,monthly,36.0,2024-07-17,active,NULL,NULL,NULL,NULL
SUB_0000128,USR_0000674,starter,annual,10.2,2024-07-12,active,NULL,NULL,NULL,NULL
SUB_0000129,USR_0000675,growth,annual,30.6,2024-07-10,active,NULL,NULL,NULL,NULL
SUB_0000130,USR_0000677,growth,annual,30.6,2024-06-05,active,NULL,NULL,NULL,NULL
SUB_0000131,USR_0000679,growth,monthly,36.0,2024-06-18,active,NULL,NULL,NULL,NULL
SUB_0000132,USR_0000681,growth,monthly,36.0,2024-05-07,active,NULL,NULL,enterprise,2024-07-03
SUB_0000133,USR_0000684,enterprise,monthly,96.0,2024-06-27,active,NULL,NULL,NULL,NULL
SUB_0000134,USR_0000686,growth,monthly,36.0,2024-07-17,active,NULL,NULL,NULL,NULL
SUB_0000135,USR_0000696,growth,annual,30.6,2024-06-11,active,NULL,NULL,NULL,NULL
SUB_0000136,USR_0000699,growth,monthly,36.0,2024-06-14,active,NULL,NULL,NULL,NULL
SUB_0000137,USR_0000701,growth,annual,30.6,2024-04-30,active,NULL,NULL,NULL,NULL
SUB_0000138,USR_0000703,starter,annual,10.2,2024-04-19,active,NULL,NULL,NULL,NULL
SUB_0000139,USR_0000713,starter,monthly,12.0,2024-07-07,active,NULL,NULL,NULL,NULL
SUB_0000140,USR_0000727,growth,annual,30.6,2024-04-04,active,NULL,NULL,enterprise,2024-06-05
SUB_0000141,USR_0000732,enterprise,monthly,96.0,2024-07-22,churned,2024-12-10,switched_competitor,NULL,NULL
SUB_0000142,USR_0000733,starter,annual,10.2,2024-06-08,active,NULL,NULL,NULL,NULL
SUB_0000143,USR_0000735,starter,annual,10.2,2024-07-14,active,NULL,NULL,NULL,NULL
SUB_0000144,USR_0000739,growth,monthly,36.0,2024-07-03,active,NULL,NULL,NULL,NULL
SUB_0000145,USR_0000741,growth,monthly,36.0,2024-05-28,active,NULL,NULL,NULL,NULL
SUB_0000146,USR_0000744,starter,annual,10.2,2024-04-05,active,NULL,NULL,NULL,NULL
SUB_0000147,USR_0000747,starter,monthly,12.0,2024-05-02,active,NULL,NULL,NULL,NULL
SUB_0000148,USR_0000754,growth,monthly,36.0,2024-07-14,active,NULL,NULL,NULL,NULL
SUB_0000149,USR_0000755,growth,monthly,36.0,2024-05-05,active,NULL,NULL,NULL,NULL
SUB_0000150,USR_0000757,growth,monthly,36.0,2024-05-15,active,NULL,NULL,NULL,NULL
SUB_0000151,USR_0000759,growth,monthly,36.0,2024-07-12,active,NULL,NULL,NULL,NULL
SUB_0000152,USR_0000768,starter,annual,10.2,2024-07-20,active,NULL,NULL,NULL,NULL
SUB_0000153,USR_0000770,growth,annual,30.6,2024-06-11,active,NULL,NULL,NULL,NULL
SUB_0000154,USR_0000775,growth,monthly,36.0,2024-04-13,active,NULL,NULL,NULL,NULL
SUB_0000155,USR_0000780,growth,monthly,36.0,2024-04-29,active,NULL,NULL,NULL,NULL
SUB_0000156,USR_0000805,enterprise,monthly,96.0,2024-03-27,active,NULL,NULL,NULL,NULL
SUB_0000157,USR_0000806,growth,monthly,36.0,2024-07-15,active,NULL,NULL,NULL,NULL
SUB_0000158,USR_0000818,growth,annual,30.6,2024-05-11,active,NULL,NULL,NULL,NULL
SUB_0000159,USR_0000821,growth,monthly,36.0,2024-04-20,active,NULL,NULL,NULL,NULL
SUB_0000160,USR_0000829,starter,monthly,12.0,2024-04-21,active,NULL,NULL,NULL,NULL
SUB_0000161,USR_0000830,starter,monthly,12.0,2024-07-16,active,NULL,NULL,NULL,NULL
SUB_0000162,USR_0000831,growth,annual,30.6,2024-05-10,active,NULL,NULL,NULL,NULL
SUB_0000163,USR_0000832,growth,monthly,36.0,2024-03-12,active,NULL,NULL,NULL,NULL
SUB_0000164,USR_0000843,enterprise,monthly,96.0,2024-06-24,active,NULL,NULL,NULL,NULL
SUB_0000165,USR_0000844,growth,annual,30.6,2024-05-29,active,NULL,NULL,enterprise,2024-09-12
SUB_0000166,USR_0000859,starter,monthly,12.0,2024-06-29,active,NULL,NULL,NULL,NULL
SUB_0000167,USR_0000860,starter,annual,10.2,2024-05-04,churned,2024-09-21,missing_features,NULL,NULL
SUB_0000168,USR_0000874,growth,monthly,36.0,2024-03-05,active,NULL,NULL,NULL,NULL
SUB_0000169,USR_0000880,growth,monthly,36.0,2024-05-31,active,NULL,NULL,NULL,NULL
SUB_0000170,USR_0000881,starter,monthly,12.0,2024-06-28,active,NULL,NULL,NULL,NULL
SUB_0000171,USR_0000882,growth,annual,30.6,2024-05-09,active,NULL,NULL,NULL,NULL
SUB_0000172,USR_0000885,starter,monthly,12.0,2024-07-04,active,NULL,NULL,NULL,NULL
SUB_0000173,USR_0000890,growth,annual,30.6,2024-06-03,active,NULL,NULL,NULL,NULL
SUB_0000174,USR_0000891,growth,monthly,36.0,2024-02-10,active,NULL,NULL,NULL,NULL
SUB_0000175,USR_0000892,growth,monthly,36.0,2024-02-11,active,NULL,NULL,NULL,NULL
SUB_0000176,USR_0000893,growth,monthly,36.0,2024-01-25,active,NULL,NULL,NULL,NULL
SUB_0000177,USR_0000894,growth,annual,30.6,2024-05-23,active,NULL,NULL,NULL,NULL
SUB_0000178,USR_0000896,growth,annual,30.6,2024-06-16,active,NULL,NULL,NULL,NULL
SUB_0000179,USR_0000898,growth,monthly,36.0,2024-04-19,active,NULL,NULL,NULL,NULL
SUB_0000180,USR_0000899,growth,monthly,36.0,2024-06-06,active,NULL,NULL,NULL,NULL
SUB_0000181,USR_0000900,growth,monthly,36.0,2024-03-27,active,NULL,NULL,NULL,NULL
SUB_0000182,USR_0000902,enterprise,monthly,96.0,2024-06-08,active,NULL,NULL,NULL,NULL
SUB_0000183,USR_0000903,starter,monthly,12.0,2024-05-26,active,NULL,NULL,NULL,NULL
SUB_0000184,USR_0000906,starter,annual,10.2,2024-07-07,active,NULL,NULL,NULL,NULL
SUB_0000185,USR_0000927,growth,monthly,36.0,2024-03-17,active,NULL,NULL,NULL,NULL
SUB_0000186,USR_0000930,enterprise,monthly,96.0,2024-07-18,active,NULL,NULL,NULL,NULL
SUB_0000187,USR_0000931,starter,monthly,12.0,2024-03-24,active,NULL,NULL,NULL,NULL
SUB_0000188,USR_0000932,growth,monthly,36.0,2024-06-23,active,NULL,NULL,NULL,NULL
SUB_0000189,USR_0000933,starter,annual,10.2,2024-02-16,active,NULL,NULL,NULL,NULL
SUB_0000190,USR_0000936,growth,monthly,36.0,2024-05-24,active,NULL,NULL,NULL,NULL
SUB_0000191,USR_0000942,growth,monthly,36.0,2024-05-23,active,NULL,NULL,NULL,NULL
SUB_0000192,USR_0000956,enterprise,monthly,96.0,2024-03-09,active,NULL,NULL,NULL,NULL
SUB_0000193,USR_0000958,growth,monthly,36.0,2024-07-08,active,NULL,NULL,NULL,NULL
SUB_0000194,USR_0000966,starter,monthly,12.0,2024-04-18,active,NULL,NULL,NULL,NULL
SUB_0000195,USR_0000969,starter,monthly,12.0,2024-07-10,active,NULL,NULL,NULL,NULL
SUB_0000196,USR_0000970,growth,annual,30.6,2024-06-08,active,NULL,NULL,NULL,NULL
SUB_0000197,USR_0000975,growth,annual,30.6,2024-02-26,active,NULL,NULL,NULL,NULL
SUB_0000198,USR_0000979,enterprise,annual,81.6,2024-02-24,active,NULL,NULL,NULL,NULL
SUB_0000199,USR_0000980,starter,annual,10.2,2024-07-13,active,NULL,NULL,NULL,NULL
SUB_0000200,USR_0000988,starter,annual,10.2,2024-06-29,active,NULL,NULL,NULL,NULL
SUB_0000201,USR_0000989,starter,monthly,12.0,2024-07-13,active,NULL,NULL,NULL,NULL
SUB_0000202,USR_0001001,starter,monthly,12.0,2024-01-18,active,NULL,NULL,NULL,NULL
SUB_0000203,USR_0001011,growth,annual,30.6,2024-05-23,active,NULL,NULL,NULL,NULL
SUB_0000204,USR_0001013,growth,monthly,36.0,2024-04-12,active,NULL,NULL,NULL,NULL
SUB_0000205,USR_0001017,starter,annual,10.2,2024-06-10,active,NULL,NULL,NULL,NULL
SUB_0000206,USR_0001020,starter,monthly,12.0,2024-04-03,active,NULL,NULL,NULL,NULL
SUB_0000207,USR_0001027,growth,monthly,36.0,2024-03-14,active,NULL,NULL,NULL,NULL
SUB_0000208,USR_0001030,enterprise,annual,81.6,2024-03-19,active,NULL,NULL,NULL,NULL
SUB_0000209,USR_0001034,starter,monthly,12.0,2024-06-16,active,NULL,NULL,NULL,NULL
SUB_0000210,USR_0001038,growth,monthly,36.0,2024-02-15,churned,2024-06-22,price,NULL,NULL
SUB_0000211,USR_0001042,starter,annual,10.2,2024-04-05,active,NULL,NULL,NULL,NULL
SUB_0000212,USR_0001043,starter,annual,10.2,2024-04-17,active,NULL,NULL,NULL,NULL
SUB_0000213,USR_0001055,starter,monthly,12.0,2024-06-23,churned,2024-10-27,price,NULL,NULL
SUB_0000214,USR_0001057,starter,monthly,12.0,2024-04-10,active,NULL,NULL,NULL,NULL
SUB_0000215,USR_0001058,growth,monthly,36.0,2024-06-07,active,NULL,NULL,NULL,NULL
SUB_0000216,USR_0001061,enterprise,monthly,96.0,2024-04-09,active,NULL,NULL,NULL,NULL
SUB_0000217,USR_0001065,enterprise,monthly,96.0,2024-06-09,active,NULL,NULL,NULL,NULL
SUB_0000218,USR_0001067,starter,annual,10.2,2024-05-05,active,NULL,NULL,NULL,NULL
SUB_0000219,USR_0001069,starter,annual,10.2,2024-06-30,active,NULL,NULL,NULL,NULL
SUB_0000220,USR_0001075,growth,annual,30.6,2024-04-06,active,NULL,NULL,NULL,NULL
SUB_0000221,USR_0001078,starter,annual,10.2,2024-07-17,active,NULL,NULL,NULL,NULL
SUB_0000222,USR_0001079,starter,monthly,12.0,2024-07-13,active,NULL,NULL,NULL,NULL
SUB_0000223,USR_0001084,growth,monthly,36.0,2024-06-14,active,NULL,NULL,NULL,NULL
SUB_0000224,USR_0001085,starter,monthly,12.0,2024-07-24,churned,2024-11-10,price,NULL,NULL
SUB_0000225,USR_0001103,growth,annual,30.6,2024-05-11,active,NULL,NULL,NULL,NULL
SUB_0000226,USR_0001106,starter,monthly,12.0,2024-03-01,active,NULL,NULL,NULL,NULL
SUB_0000227,USR_0001108,growth,monthly,36.0,2024-05-10,active,NULL,NULL,NULL,NULL
SUB_0000228,USR_0001112,growth,monthly,36.0,2024-06-22,active,NULL,NULL,NULL,NULL
SUB_0000229,USR_0001115,growth,annual,30.6,2024-06-09,active,NULL,NULL,NULL,NULL
SUB_0000230,USR_0001118,growth,annual,30.6,2024-05-05,active,NULL,NULL,NULL,NULL
SUB_0000231,USR_0001122,starter,annual,10.2,2024-03-24,active,NULL,NULL,NULL,NULL
SUB_0000232,USR_0001134,growth,monthly,36.0,2024-06-07,active,NULL,NULL,NULL,NULL
SUB_0000233,USR_0001138,growth,monthly,36.0,2024-07-09,active,NULL,NULL,enterprise,2024-09-04
SUB_0000234,USR_0001141,starter,monthly,12.0,2024-07-14,active,NULL,NULL,NULL,NULL
SUB_0000235,USR_0001143,starter,annual,10.2,2024-04-16,active,NULL,NULL,NULL,NULL
SUB_0000236,USR_0001145,growth,monthly,36.0,2024-01-31,active,NULL,NULL,NULL,NULL
SUB_0000237,USR_0001146,starter,monthly,12.0,2024-04-19,active,NULL,NULL,NULL,NULL
SUB_0000238,USR_0001148,growth,monthly,36.0,2024-07-07,active,NULL,NULL,NULL,NULL
SUB_0000239,USR_0001149,starter,monthly,12.0,2024-07-22,active,NULL,NULL,NULL,NULL
SUB_0000240,USR_0001156,starter,monthly,12.0,2024-07-09,active,NULL,NULL,NULL,NULL
SUB_0000241,USR_0001159,starter,monthly,12.0,2024-03-22,active,NULL,NULL,NULL,NULL
SUB_0000242,USR_0001164,starter,monthly,12.0,2024-07-11,active,NULL,NULL,NULL,NULL
SUB_0000243,USR_0001180,starter,monthly,12.0,2024-06-11,active,NULL,NULL,NULL,NULL
SUB_0000244,USR_0001184,growth,annual,30.6,2024-03-21,active,NULL,NULL,NULL,NULL
SUB_0000245,USR_0001188,enterprise,annual,81.6,2024-03-05,active,NULL,NULL,NULL,NULL
SUB_0000246,USR_0001194,starter,monthly,12.0,2024-07-04,active,NULL,NULL,NULL,NULL
SUB_0000247,USR_0001196,starter,monthly,12.0,2024-05-26,active,NULL,NULL,NULL,NULL
SUB_0000248,USR_0001207,starter,annual,10.2,2024-05-13,active,NULL,NULL,NULL,NULL
SUB_0000249,USR_0001211,starter,monthly,12.0,2024-04-22,active,NULL,NULL,growth,2024-05-29
SUB_0000250,USR_0001215,growth,monthly,36.0,2024-06-18,active,NULL,NULL,NULL,NULL
SUB_0000251,USR_0001231,starter,monthly,12.0,2024-07-08,active,NULL,NULL,NULL,NULL
SUB_0000252,USR_0001239,starter,monthly,12.0,2024-07-07,active,NULL,NULL,NULL,NULL
SUB_0000253,USR_0001244,starter,annual,10.2,2024-07-16,active,NULL,NULL,NULL,NULL
SUB_0000254,USR_0001250,growth,monthly,36.0,2024-04-07,active,NULL,NULL,NULL,NULL
SUB_0000255,USR_0001252,growth,annual,30.6,2024-03-06,active,NULL,NULL,NULL,NULL
SUB_0000256,USR_0001254,enterprise,monthly,96.0,2024-06-18,active,NULL,NULL,NULL,NULL
SUB_0000257,USR_0001255,growth,monthly,36.0,2024-06-19,active,NULL,NULL,NULL,NULL
SUB_0000258,USR_0001257,growth,annual,30.6,2024-02-26,active,NULL,NULL,NULL,NULL
SUB_0000259,USR_0001260,growth,annual,30.6,2024-05-16,active,NULL,NULL,NULL,NULL
SUB_0000260,USR_0001263,starter,monthly,12.0,2024-05-25,active,NULL,NULL,NULL,NULL
SUB_0000261,USR_0001270,starter,monthly,12.0,2024-06-11,active,NULL,NULL,NULL,NULL
SUB_0000262,USR_0001271,growth,monthly,36.0,2024-02-07,active,NULL,NULL,NULL,NULL
SUB_0000263,USR_0001273,starter,monthly,12.0,2024-02-25,active,NULL,NULL,NULL,NULL
SUB_0000264,USR_0001274,growth,monthly,36.0,2024-05-15,active,NULL,NULL,NULL,NULL
SUB_0000265,USR_0001275,starter,annual,10.2,2024-06-21,active,NULL,NULL,NULL,NULL
SUB_0000266,USR_0001284,enterprise,annual,81.6,2024-07-15,active,NULL,NULL,NULL,NULL
SUB_0000267,USR_0001303,enterprise,monthly,96.0,2024-07-07,active,NULL,NULL,NULL,NULL
SUB_0000268,USR_0001305,starter,monthly,12.0,2024-06-21,churned,2024-10-10,price,NULL,NULL
SUB_0000269,USR_0001306,starter,monthly,12.0,2024-04-02,active,NULL,NULL,NULL,NULL
SUB_0000270,USR_0001307,growth,monthly,36.0,2024-07-03,churned,2024-09-07,missing_features,NULL,NULL
SUB_0000271,USR_0001308,starter,monthly,12.0,2024-07-29,active,NULL,NULL,NULL,NULL
